variant,fold,prevalence,roc_auc,pr_auc,m1.0,m1.1,m1.2,m1.3,m1.4,m1.5,m1.6,m1.7,m1.8,m1.9,m2.0,m2.1,m2.2,m2.3,m2.4,m2.5,m2.6
champion 0.70/0.20/0.10,1,0.1468,0.794,0.4598,0.4291,0.4305,0.4358,0.4391,0.4377,0.4413,0.4384,0.4317,0.4294,0.429,0.4239,0.4203,0.4157,0.4114,0.4085,0.4077,0.402
champion 0.70/0.20/0.10,2,0.1515,0.7828,0.4136,0.3865,0.39,0.3965,0.4063,0.4093,0.4163,0.418,0.4242,0.4256,0.4249,0.4255,0.4215,0.4188,0.4191,0.4151,0.4139,0.4102
champion 0.70/0.20/0.10,3,0.1436,0.7894,0.3713,0.3807,0.3849,0.3937,0.3977,0.403,0.401,0.4052,0.4109,0.4123,0.4123,0.4153,0.4152,0.4157,0.4161,0.4143,0.4079,0.409
champion 0.70/0.20/0.10,4,0.127,0.8013,0.3938,0.3679,0.3684,0.3719,0.3842,0.3938,0.4008,0.4049,0.408,0.4092,0.4098,0.4059,0.4057,0.4024,0.3985,0.3961,0.3944,0.3905
equal 4 components,1,0.1468,0.7967,0.4612,0.4282,0.4279,0.4383,0.4423,0.4453,0.4398,0.4363,0.4338,0.4346,0.4341,0.4312,0.4274,0.4214,0.4142,0.4107,0.4093,0.403
equal 4 components,2,0.1515,0.7845,0.4181,0.3963,0.3993,0.4061,0.4102,0.4123,0.4142,0.418,0.4176,0.4224,0.4268,0.4249,0.4232,0.4194,0.4224,0.4188,0.4164,0.4117
equal 4 components,3,0.1436,0.7918,0.374,0.3807,0.3911,0.3997,0.4018,0.4069,0.4093,0.4117,0.4158,0.4176,0.4161,0.4172,0.4182,0.4151,0.4161,0.4154,0.4143,0.4106
equal 4 components,4,0.127,0.803,0.3952,0.3732,0.3795,0.3825,0.386,0.4009,0.4076,0.4073,0.4088,0.4145,0.4149,0.4116,0.4091,0.403,0.401,0.4017,0.3969,0.3922
equal 5 components,1,0.1468,0.7963,0.4597,0.43,0.434,0.4358,0.4391,0.4438,0.4413,0.4363,0.431,0.4353,0.4322,0.4282,0.4256,0.4202,0.4159,0.4123,0.4062,0.4071
equal 5 components,2,0.1515,0.7837,0.4172,0.3848,0.401,0.4069,0.4133,0.4137,0.4142,0.4132,0.4143,0.4237,0.4262,0.422,0.4232,0.4194,0.4213,0.4193,0.4174,0.4117
equal 5 components,3,0.1436,0.7918,0.3728,0.3751,0.3911,0.4005,0.4075,0.4069,0.41,0.4066,0.4158,0.415,0.4194,0.4185,0.4182,0.4163,0.4138,0.4132,0.4143,0.4122
equal 5 components,4,0.127,0.8031,0.395,0.37,0.3785,0.3815,0.3906,0.4009,0.4059,0.4073,0.4111,0.4085,0.4156,0.413,0.4098,0.4083,0.4023,0.3993,0.3944,0.3911
rank-average 4 components,1,0.1468,0.7973,0.4625,0.4273,0.4288,0.4407,0.4399,0.4438,0.4369,0.4349,0.431,0.4333,0.4315,0.4306,0.4274,0.4197,0.4142,0.4117,0.4077,0.4056
rank-average 4 components,2,0.1515,0.7845,0.4187,0.3936,0.3985,0.4093,0.4094,0.4123,0.4177,0.4166,0.4163,0.4237,0.4225,0.4226,0.4209,0.4199,0.4218,0.4209,0.4159,0.4112
rank-average 4 components,3,0.1436,0.7919,0.3739,0.3732,0.3884,0.3954,0.401,0.4092,0.4123,0.4138,0.4158,0.4176,0.4194,0.4191,0.4182,0.4151,0.4161,0.4127,0.4143,0.4106
rank-average 4 components,4,0.127,0.8037,0.3973,0.3753,0.3795,0.3864,0.3897,0.4044,0.4059,0.4081,0.4072,0.4137,0.4141,0.413,0.4105,0.405,0.401,0.4005,0.3981,0.3922
rank-average champion,1,0.1468,0.7949,0.4599,0.4282,0.4305,0.4358,0.4399,0.4392,0.4398,0.4391,0.4324,0.4301,0.4271,0.4257,0.4215,0.4168,0.4109,0.409,0.4072,0.402
rank-average champion,2,0.1515,0.783,0.4126,0.383,0.3883,0.3956,0.4025,0.4123,0.4191,0.4207,0.4235,0.4256,0.4256,0.4243,0.4238,0.4199,0.4207,0.4172,0.4144,0.4112
rank-average champion,3,0.1436,0.7901,0.3726,0.3807,0.3866,0.3946,0.3985,0.4037,0.4025,0.4073,0.413,0.4136,0.4135,0.4153,0.4152,0.4163,0.4133,0.4132,0.4101,0.4101
rank-average champion,4,0.127,0.8024,0.3953,0.37,0.3694,0.3767,0.3869,0.3974,0.4025,0.4065,0.4111,0.41,0.409,0.4066,0.4057,0.405,0.4017,0.3993,0.3963,0.3899
