half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
75,3,42,0.4374167776298269,0.47200000000000003,0.1,0.5,0.4,0.2218522629177457,1799,142,232,15,2026-08-13T15:43:21.413337+00:00
75,3,2026,0.44140625,0.528,0.4,0.4,0.2,0.23023800715254655,1867,216,200,15,2026-08-13T16:04:33.149503+00:00
75,3,777,0.435725677830941,0.524,0.4,0.4,0.2,0.23800715254655322,1930,177,200,15,2026-08-13T16:04:43.236508+00:00
75,3,2027,0.4391036050665801,0.56,0.5,0.4,0.1,0.2311012455296584,1874,179,200,15,2026-08-13T16:04:53.118873+00:00
75,3,1337,0.4387591941157659,0.528,0.4,0.4,0.2,0.23702059440128254,1922,214,200,15,2026-08-13T16:05:04.287432+00:00
75,5,42,0.44060913705583754,0.444,0.0,0.5,0.5,0.21580959427796276,1750,152,200,15,2026-08-13T16:05:14.420150+00:00
75,5,2026,0.4407431133888533,0.524,0.4,0.4,0.2,0.23640399556048836,1917,130,200,15,2026-08-13T16:05:24.060435+00:00
75,5,777,0.43588907014681894,0.5640000000000001,0.4,0.5,0.1,0.2293747687754347,1860,144,200,15,2026-08-13T16:05:33.494118+00:00
75,5,2027,0.43989431968295906,0.6000000000000001,0.4,0.6,0.0,0.22481193735355778,1823,181,200,15,2026-08-13T16:05:43.749251+00:00
75,5,1337,0.44272844272844275,0.528,0.4,0.4,0.2,0.23467751880626464,1903,176,200,15,2026-08-13T16:05:53.683718+00:00
75,7,42,0.4403361344537815,0.6080000000000001,0.4,0.6,0.0,0.21827598964113948,1770,153,200,15,2026-08-13T16:06:03.190603+00:00
75,7,2026,0.43960269144504965,0.528,0.4,0.4,0.2,0.2362806757923295,1916,170,200,15,2026-08-13T16:06:13.420761+00:00
75,7,777,0.4395029431000654,0.5640000000000001,0.5,0.4,0.1,0.22851153039832284,1853,193,200,15,2026-08-13T16:06:24.529813+00:00
75,7,2027,0.44155844155844154,0.528,0.4,0.4,0.2,0.23122456529781724,1875,209,200,15,2026-08-13T16:06:35.675234+00:00
75,7,1337,0.44118627124291904,0.468,0.2,0.4,0.4,0.2214823036132692,1796,231,200,15,2026-08-13T16:06:47.355691+00:00
75,9,42,0.4434330299089727,0.5640000000000001,0.2,0.7,0.1,0.2307312862251819,1871,187,200,15,2026-08-13T16:06:58.036805+00:00
75,9,2026,0.44100840336134456,0.536,0.4,0.4,0.2,0.21827598964113948,1770,210,200,15,2026-08-13T16:07:09.424109+00:00
75,9,777,0.4403252032520325,0.528,0.4,0.4,0.2,0.23060796645702306,1870,233,200,15,2026-08-13T16:07:21.599436+00:00
75,9,2027,0.4419427468639434,0.52,0.2,0.6,0.2,0.2348008385744235,1904,269,200,15,2026-08-13T16:07:34.391314+00:00
75,9,1337,0.44146259644414626,0.6040000000000001,0.5,0.5,0.0,0.21901590825009248,1776,203,200,15,2026-08-13T16:07:45.689968+00:00
90,3,42,0.43919793014230274,0.56,0.5,0.4,0.1,0.23270440251572327,1887,200,200,15,2026-08-13T16:07:56.873619+00:00
90,3,2026,0.44076770350761085,0.5640000000000001,0.5,0.4,0.1,0.22407201874460475,1817,203,200,15,2026-08-13T16:08:08.512141+00:00
90,3,777,0.44043786220218933,0.56,0.5,0.4,0.1,0.23443087926994696,1901,202,200,15,2026-08-13T16:08:19.296629+00:00
90,3,2027,0.4415499837186584,0.56,0.5,0.4,0.1,0.23011468738438773,1866,260,200,15,2026-08-13T16:08:31.752422+00:00
90,3,1337,0.43938901527461816,0.532,0.4,0.4,0.2,0.23085460599334073,1872,216,200,15,2026-08-13T16:08:43.112610+00:00
90,5,42,0.4421610871726881,0.532,0.4,0.4,0.2,0.22345541990381057,1812,292,200,15,2026-08-13T16:08:57.723455+00:00
