half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
105,9,42,0.4487440597420231,0.5720000000000001,0.0,0.8999999999999999,0.1,0.2146997163645332,1741,288,200,15,2026-08-13T16:14:22.840155+00:00
135,3,1337,0.4472516217138955,0.5640000000000001,0.1,0.7999999999999999,0.1,0.212603280305833,1724,370,200,15,2026-08-13T16:19:49.189715+00:00
180,3,2027,0.4471086036671368,0.5800000000000001,0.0,0.8999999999999999,0.1,0.2011345418670612,1631,288,200,15,2026-08-13T16:31:36.911164+00:00
165,5,42,0.4469273743016759,0.468,0.0,0.6,0.4,0.2266617338759403,1838,305,200,15,2026-08-13T16:27:56.931130+00:00
105,9,777,0.4466800804828973,0.472,0.0,0.6,0.4,0.2191392280182513,1777,327,200,15,2026-08-13T16:14:46.850782+00:00
120,9,2027,0.446078431372549,0.448,0.0,0.5,0.5,0.203600937230238,1651,347,200,15,2026-08-13T16:18:37.131329+00:00
150,9,1337,0.4456339913014386,0.6040000000000001,0.2,0.7999999999999999,0.0,0.2200024663953631,1784,340,200,15,2026-08-13T16:26:43.986353+00:00
105,9,2027,0.445632798573975,0.544,0.0,0.7999999999999999,0.2,0.1973116290541373,1600,322,200,15,2026-08-13T16:14:59.519523+00:00
150,5,2027,0.445290199809705,0.556,0.2,0.7,0.1,0.2402269083734122,1948,246,200,15,2026-08-13T16:24:26.498622+00:00
180,9,1337,0.4452459016393442,0.5640000000000001,0.4,0.5,0.1,0.2275249722530521,1845,326,200,15,2026-08-13T16:34:52.614922+00:00
150,5,1337,0.445115810674723,0.6040000000000001,0.5,0.5,0.0,0.2187692687137748,1774,250,200,15,2026-08-13T16:24:38.355130+00:00
165,5,2026,0.445019404915912,0.532,0.4,0.4,0.2,0.2327044025157232,1887,241,200,15,2026-08-13T16:28:08.195651+00:00
135,7,2027,0.4447334200260078,0.5960000000000001,0.5,0.5,0.0,0.2307312862251819,1871,271,200,15,2026-08-13T16:21:30.459865+00:00
150,9,2027,0.4445964432284541,0.444,0.0,0.5,0.5,0.2119866814650388,1719,382,200,15,2026-08-13T16:26:30.049628+00:00
135,9,2026,0.4445927903871829,0.6040000000000001,0.2,0.7999999999999999,0.0,0.220865704772475,1791,332,200,15,2026-08-13T16:22:05.175489+00:00
90,7,2027,0.444591904445919,0.5640000000000001,0.4,0.5,0.1,0.223085460599334,1809,281,200,15,2026-08-13T16:10:23.126069+00:00
120,5,2026,0.4445905951989477,0.528,0.4,0.4,0.2,0.2264150943396226,1836,311,200,15,2026-08-13T16:16:26.777640+00:00
135,9,42,0.4445893089960887,0.5960000000000001,0.3,0.7,0.0,0.2297447280799112,1863,287,200,15,2026-08-13T16:21:52.254117+00:00
135,5,2027,0.4443009363900549,0.56,0.5,0.4,0.1,0.2333210013565174,1892,248,200,15,2026-08-13T16:20:33.857374+00:00
120,3,42,0.4443000974342319,0.532,0.4,0.4,0.2,0.2311012455296584,1874,184,200,15,2026-08-13T16:15:21.001508+00:00
120,3,1337,0.4442953020134228,0.5680000000000001,0.1,0.7999999999999999,0.1,0.2188925884819336,1775,284,200,15,2026-08-13T16:16:03.296321+00:00
135,7,42,0.4440842787682333,0.5,0.3,0.4,0.3,0.2318411641386114,1880,275,200,15,2026-08-13T16:20:56.343766+00:00
180,3,1337,0.4440842787682333,0.5680000000000001,0.2,0.7,0.1,0.2318411641386114,1880,217,200,15,2026-08-13T16:31:47.635470+00:00
120,3,777,0.4440052700922266,0.5920000000000001,0.4,0.6,0.0,0.2257984954988284,1831,258,200,15,2026-08-13T16:15:42.465668+00:00
165,7,1337,0.4439532680770445,0.528,0.4,0.4,0.2,0.2419533851276359,1962,226,200,15,2026-08-13T16:29:46.731875+00:00
150,9,42,0.4438484746899095,0.54,0.3,0.5,0.2,0.2192625477864101,1778,247,200,15,2026-08-13T16:25:49.554530+00:00
90,9,777,0.4438318401102687,0.6120000000000001,0.0,1.0,0.0,0.2092736465655444,1697,213,200,15,2026-08-13T16:11:03.537579+00:00
165,9,1337,0.4438166980539862,0.46,0.0,0.6,0.4,0.2442964607226538,1981,278,200,15,2026-08-13T16:30:50.448430+00:00
105,3,42,0.4437927663734115,0.532,0.4,0.4,0.2,0.22986804784807,1864,222,200,15,2026-08-13T16:11:39.366009+00:00
150,3,2027,0.4437850313221233,0.508,0.0,0.7,0.3,0.2254285361943519,1828,195,200,15,2026-08-13T16:23:25.553784+00:00
150,9,777,0.4437236457995459,0.5960000000000001,0.0,1.0,0.0,0.2315945246022937,1878,313,200,15,2026-08-13T16:26:14.812189+00:00
165,3,777,0.4436952124072825,0.5720000000000001,0.0,0.8999999999999999,0.1,0.2171661117277099,1761,335,200,15,2026-08-13T16:27:19.287195+00:00
90,7,2026,0.4436290860573715,0.6000000000000001,0.2,0.7999999999999999,0.0,0.2211123443087927,1793,230,200,15,2026-08-13T16:09:58.228399+00:00
135,3,777,0.4435746901500326,0.5640000000000001,0.2,0.7,0.1,0.2294980885435935,1861,329,200,15,2026-08-13T16:19:25.308392+00:00
